bin,count
0.3,0
0.5,3
0.7,110
0.9,249
1.1,191
1.3,135
1.5,73
1.7,55
1.9,37
2.1,34
2.3,14
2.5,3
2.7,2
2.9,3
3.1,0
3.3,4
3.5,1
3.7,0
3.9,2
4.1,1
4.3,1
